"Code","Name","Sector","Source"
"GDYR","PT Goodyear Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"GEMA","PT Gema Grahasarana Tbk","Consumer Discretionary","stockanalysis:company"
"GEMS","PT Golden Energy Mines Tbk","Energy","stockanalysis:company"
"GGRM","PT Gudang Garam Tbk","Consumer Staples","stockanalysis:company"
"GGRP","PT Gunung Raja Paksi Tbk","Materials","stockanalysis:company"
"GHON","PT Gihon Telekomunikasi Indonesia Tbk","Communication Services","stockanalysis:company"
"GIAA","PT. Garuda Indonesia (Persero) Tbk","Industrials","stockanalysis:company"
"GJTL","PT. Gajah Tunggal Tbk","Consumer Discretionary","stockanalysis:company"
"GLOB","PT Globe Kita Terang Tbk","Consumer Discretionary","stockanalysis:company"
"GLVA","PT Galva Technologies Tbk","Technology","stockanalysis:company"
"GMFI","PT Garuda Maintenance Facility Aero Asia Tbk","Industrials","stockanalysis:company"
"GMTD","PT Gowa Makassar Tourism Development Tbk","Real Estate","stockanalysis:company"
"GOLD","PT Visi Telekomunikasi Infrastruktur Tbk","Communication Services","stockanalysis:company"
"GOLF","PT Intra Golflink Resorts Tbk","Consumer Discretionary","stockanalysis:company"
"GOOD","PT Garudafood Putra Putri Jaya Tbk","Consumer Staples","stockanalysis:company"
"GOTO","PT GoTo Gojek Tokopedia Tbk","Technology","stockanalysis:company"
"GPRA","PT Perdana Gapuraprima Tbk","Real Estate","stockanalysis:company"
"GPSO","PT Geoprima Solusi Tbk","Technology","stockanalysis:company"
"GRIA","PT Ingria Pratama Capitalindo Tbk","Real Estate","stockanalysis:company"
"GRPH","PT Griptha Putra Persada Tbk","Consumer Discretionary","stockanalysis:company"
"GRPM","PT Graha Prima Mentari Tbk","Consumer Staples","stockanalysis:company"
"GSMF","PT Equity Development Investment Tbk","Financials","stockanalysis:company"
"GTBO","PT Garda Tujuh Buana Tbk","Energy","stockanalysis:company"
"GTRA","PT Grahaprima Suksesmandiri Tbk","Industrials","stockanalysis:company"
"GTSI","PT GTS Internasional Tbk","Industrials","stockanalysis:company"
"GULA","PT Aman Agrindo Tbk","Consumer Staples","stockanalysis:company"
"GUNA","PT Gunanusa Eramandiri Tbk","Consumer Staples","stockanalysis:company"
"GWSA","PT Greenwood Sejahtera Tbk","Real Estate","stockanalysis:company"
"GZCO","PT Gozco Plantations Tbk","Consumer Staples","stockanalysis:company"
"HADE","PT Himalaya Energi Perkasa Tbk","Consumer Discretionary","stockanalysis:company"
